,NMESES_DEUDA_NOR100_1M,MAX_NRO_CUOTAS_AM_8D_ATRASO_3M,AVG_DEUDA_NOR_12M,MAX_NRO_CUOTAS_AM_15D_ATRASO_3M,MAX_NRO_CUOTAS_AM_8D_ATRASO_1M,MAX_DA_VIGENTE_RCC_3M,MAX_NRO_CUOTAS_AM_15D_ATRASO_1M,NMESES_DEUDA_NOR100_12M,MAX_DEUDA_CPP_3M,CALIF_VIGENTE_RCC_1M,MAX_DEUDA_NOR_3M,TARGET_COBRANZA
2873,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2874,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2875,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2876,1.0,1.0,84.61539,1.0,1.0,0.0,1.0,11.0,0.0,0.0,100.0,1
2877,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2878,1.0,1.0,92.30769,0.0,0.0,4.0,0.0,12.0,0.0,0.0,100.0,0
2879,1.0,1.0,92.30769,0.0,1.0,6.0,0.0,12.0,0.0,0.0,100.0,0
2880,1.0,0.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,100.0,0
2881,1.0,2.0,92.30769,0.0,1.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2882,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2883,0.0,2.0,84.644615,2.0,1.0,28.0,1.0,11.0,99.62,1.0,100.0,0
2884,1.0,1.0,92.30769,1.0,1.0,3.0,1.0,12.0,0.0,0.0,100.0,1
2885,1.0,1.0,92.30769,0.0,1.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2886,1.0,0.0,100.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2887,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2888,1.0,2.0,92.30769,2.0,1.0,5.0,1.0,12.0,0.0,0.0,100.0,1
2889,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2890,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2891,0.0,3.0,76.394615,3.0,1.0,8.0,1.0,8.0,0.0,0.0,100.0,0
2892,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
2893,1.0,0.0,92.30769,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0
2894,1.0,0.0,92.30769,0.0,0.0,1.0,0.0,12.0,0.0,0.0,100.0,0
